Type,?,slug,typeOut,type1,param1,p1_uri,type2,param2,p2_uri,type3,param3,p3_uri,type4,param4,p4_uri,type5,param5,p5_uri,type6,param6,p6_uri,seeAlso,url
Controls,,if,any,bool (exec),o,bool_b,any,eTrue,any_true,any,eFalse,any_false,,,,,,,,,,,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Controls#ifexpression-o-expression-etrue-expression-efalse
Boolean,,and,bool,bool,b1,bool_b,bool,b2,bool_b2,bool?,b3,bool_rep_b,bool?,b4,,bool?,b5,,bool?,b6,,,
Boolean,,or,bool,bool,b1,bool_b,bool,b2,bool_b2,bool?,b3,bool_rep_b,bool?,b4,,bool?,b5,,bool?,b6,,,
Boolean,,xor,bool,bool,b1,bool_b,bool,b2,bool_b2,bool?,b3,bool_rep_b,bool?,b4,,bool?,b5,,bool?,b6,,,
Date,,diff,decimal,date,d1,date_d,date,d2,date_d2,string,timeUnit,string_time_unit,,,,,,,,,,,
Date,,inc,date,date,d,date_d,decimal,value,dec_n,string,unit,string_unit,,,,,,,,,,,
Array,D,sum,number,array,a,,,,,,,,,,,,,,,,,,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Array-Functions#sumarray-a
Math,,pow,decimal,decimal,d,dec_n,decimal,e,dec_n_exp,,,,,,,,,,,,,,
Math,,max,decimal,decimal,d1,dec_n,decimal,d2,dec_n2,,,,,,,,,,,,,,
Math,,min,decimal,decimal,d1,dec_n,decimal,d2,dec_n2,,,,,,,,,,,,,,
String,,ngram,array,string,s,string_s,int,n,int_i,,,,,,,,,,,,,,
String,,ngramFingerprint,array,string,s,string_s,int,n,int_i,,,,,,,,,,,,,,
String,,splitByLengths,array,string,s,string_s,int,n1,int_i,int,n2,int_i2,int?,n3,int_rep_i,int?,n4,,int?,n5,,,https://github.com/OpenRefine/OpenRefine/wiki/GREL-String-Functions#splitbylengthsstring-s-number-n1-number-n2-
Array,,get,array,array,a,array_a,int,from,int_i_from,int?,to,int_i_opt_to,,,,,,,,,,slice,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Array-Functions#getarray-a-number-or-string-from-optional-number-to
Array,,slice,array,array,a,array_a,int,from,int_i_from,int?,to,int_i_opt_to,,,,,,,,,,,
String,,get,string,string,s,string_s,int,from,int_i_from,int?,to,int_i_opt_to,,,,,,,,,,substring,https://github.com/OpenRefine/OpenRefine/wiki/GREL-String-Functions#geto-number-or-string-from-optional-number-to
String,,slice,string,string,s,string_s,int,from,int_i_from,int?,to,int_i_opt_to,,,,,,,,,,,
String,,substring,string,string,s,string_s,int,from,int_i_from,int?,to,int_i_opt_to,,,,,,,,,,,
Math,,mod,int,int,d1,int_i,int,d2,int_i2,,,,,,,,,,,,,,
Controls,,forRange,array,int,from,int_i_from,int,to,inti_i_to,int,step,int_i_step,URI,v,uri_value,any (exec),e,any_e,,,,,
String,,reinterpret,string,string,s,string_s,string,encoder,string_encoder,,,,,,,,,,,,,,
String,,phonetic,string,string,s,string_s,string,encoding,string_encoding,,,,,,,,,,,,,,
Other,,get,any,any,o,any_e,string,field,string_field,,,,,,,,,,,,,,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Array-Functions#getarray-a-number-or-string-from-optional-number-to
Other,,hasField,bool,any,o,any_e,string,name,string_field,,,,,,,,,,,,,,
String,,replace,string,string,s,string_s,string,f,string_find,string,r,string_replace,,,,,,,,,,,
String,,replaceChars,string,string,s,string_s,string,f,string_find,string,r,string_replace,,,,,,,,,,,
Date,,toString,string,date,o,date_d,string,format,string_format,,,,,,,,,,,,,,
String,,partition,array,string,s,string_s,string/regexp,frag,string_fragment,bool?,omitFragment,bool_opt_b,,,,,,,,,,,
String,,rpartition,array,string,s,string_s,string/regexp,frag,string_fragment,bool?,omitFragment,bool_opt_b,,,,,,,,,,,
Date,I,toDate,date,any,o,,bool,month_first,,,,,,,,,,,,,,,
String,,escape,string,string,s,string_s,string,mode,string_mode,,,,,,,,,,,,,,
String,,unescape,string,string,s,string_s,string,mode,string_mode,,,,,,,,,,,,,,
String,,smartSplit,array,string,s,string_s,string?,sep,string_opt_sep,,,,,,,,,,,,,,
String,,find,array,string,s,string_s,regexp,p,string_regex,,,,,,,,,,,,,,
String,,match,array,string,s,string_s,regexp,p,string_regex,,,,,,,,,,,,,,
Date,,toDate,date,any,o,any_e,string,format1,string_rep_format,string,format2,,string,format3,,string,format4,,string,format5,,,
String,,diff,string,string,o1,string_s,string,o2,string_s2,,,,,,,,,,,,,,https://github.com/OpenRefine/OpenRefine/wiki/GREL-String-Functions#diffo1-o2-optional-string-timeunit
Array,,join,string,array,a,array_a,string,sep,string_sep,,,,,,,,,,,,,,
String,,chomp,string,string,s,string_s,string,sep,string_sep,,,,,,,,,,,,,,
String,,split,array,string,s,string_s,string/regexp,sep,string_sep,,,,,,,,,,,,,,
String,,contains,bool,string,s,string_s,string,sub,string_sub,,,,,,,,,,,,,,
String,,endWith,bool,string,s,string_s,string,sub,string_sub,,,,,,,,,,,,,,
String,,indexOf,int,string,s,string_s,string,sub,string_sub,,,,,,,,,,,,,,https://github.com/OpenRefine/OpenRefine/wiki/GREL-String-Functions#indexofstring-s-string-sub
String,,lastIndexOf,int,string,s,string_s,string,sub,string_sub,,,,,,,,,,,,,,
String,,startsWith,bool,string,s,string_s,string,sub,string_sub,,,,,,,,,,,,,,
