function,GREL,GREL_iri,GREL_signature,GREL_description,GREL_category,GREL_category_2,GREL_category_3,SPARQL,SPARQL_iri,SPARQL_signature,SPARQL_description,SPARQL_category,XPath,XPath_sameas,XPath_iri,Xpath_signature,Xpath_description,Xpath_category,Xpath_category_2,Xpath_operator,SQL,SQL_IRI,SQL_signature,SQL_description,SQL_category,SQL_operator
abs,,,,,,,,abs,https://www.w3.org/TR/sparql11-query/#func-abs,numeric  ABS (numeric term),"Returns the absolute value of arg. An error is raised if arg is not a numeric value.

This function is the same as fn:numeric-abs for terms with a datatype from XDM. ",Numerics,fn:abs,,http://www.w3.org/TR/xpath-functions/#func-abs,,,,,,ABS,,,Returns the absolute value of a number.,Numeric Scalar,
,,,,,,,,,,,,,fn:accumulator-after,XSLT 3.0 only,,,,,,,,,,,,
,,,,,,,,,,,,,fn:accumulator-before,XSLT 3.0 only,,,,,,,,,,,,
,,,,,,,,,,,,,fn:adjust-dateTime-to-timezone,XForms 1.1,,,,,,,,,,,,
,,,,,,,,,,,,,fn:available-system-properties,XSLT 3.0 only,,,,,,,,,,,,
ceil,ceil,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Math-Functions#ceilnumber-d,ceil(number d),"Returns the ceiling of a number. For example, ceil(3.7) returns 4 and ceil(-3.7) returns -3.",Math,,,ceil,https://www.w3.org/TR/sparql11-query/#func-round,numeric  CEIL (numeric term),"Returns the smallest (closest to negative infinity) number with no fractional part that is not less than the value of arg. An error is raised if arg is not a numeric value.

This function is the same as fn:numeric-ceil for terms with a datatype from XDM. ",Numerics,fn:ceiling,,http://www.w3.org/TR/xpath-functions/#func-ceiling,,,,,,CEIL or CEILING,,,Rounds a noninteger value upwards to the next greatest integer. Returns an integer value unchanged.,Numeric Scalar,
,,,,,,,,,,,,,fn:boolean-from-string,XForms 1.1,,,,,,,,,,,,
concat,join,https://github.com/OpenRefine/OpenRefine/wiki/GREL-Array-Functions#joinarray-a-string-sep,"join(array a, string sep)","Returns the string obtained by joining the array a with the separator sep. For example, join([ ""foo"", ""bar"", ""baz"" ], "";"") returns the string foo;bar;baz.",Array,,,CONCAT,https://www.w3.org/TR/sparql11-query/#func-concat,string literal  CONCAT(string literal ltrl1 ... string literal ltrln),"The CONCAT function corresponds to the XPath fn:concat function. The function accepts string literals as arguments.

The lexical form of the returned literal is obtained by concatenating the lexical forms of its inputs. If all input literals are typed literals of type xsd:string, then the returned literal is also of type xsd:string, if all input literals are plain literals with identical language tag, then the returned literal is a plain literal with the same language tag, in all other cases, the returned literal is a simple literal.",Strings,fn:concat,,http://www.w3.org/TR/xpath-functions/#func-concat,"fn:concat(  $arg1   as xs:anyAtomicType?,
$arg2   as xs:anyAtomicType?,
...  ) as xs:string",Returns the concatenation of the string values of the arguments.,Strings,String values,||,CONCAT,,"CONCAT(str1, ... strn)",joins two distinct strings into one string value.,String,||
,,,,,,,,,,,,,fn:choose,XForms 1.1,,,,,,,,,,,,
,,,,,,,,,,,,,fn:collation-key,Common to XSLT 3.0 and XPath 3.1,,,,,,,,,,,,
,,,,,,,,,,,,,fn:compare,XForms 1.1,,,,,,,,,,,,
contains,contains,https://github.com/OpenRefine/OpenRefine/wiki/GREL-String-Functions#containsstring-s-string-sub,"contains(string s, string sub)","Returns boolean indicating whether s contains sub. For example, contains(""food"", ""oo"") returns true whereas contains(""food"", ""ee"") returns false. You could also write the first case as ""food"".contains(""oo""). ",String,Testing String characteristics,,CONTAINS,https://www.w3.org/TR/sparql11-query/#func-contains,"xsd:boolean  CONTAINS(string literal arg1, string literal arg2)",The CONTAINS function corresponds to the XPath fn:contains. The arguments must be argument compatible otherwise an error is raised.,Strings,fn:contains,,http://www.w3.org/TR/xpath-functions/#func-contains,"fn:contains($arg1 as xs:string?, $arg2 as xs:string?) as xs:boolean
fn:contains(  $arg1   as xs:string?,
$arg2   as xs:string?,
$collation   as xs:string) as xs:boolean","Returns true if the string $arg1 contains $arg2 as a substring, taking collations into account. ",Strings,Substring matching,,,,,,,
day,,,,,,,,day,https://www.w3.org/TR/sparql11-query/#func-day,xsd:integer  DAY (xsd:dateTime arg),"Returns the day part of arg as an integer.

This function corresponds to fn:day-from-dateTime.",Dates and Times,fn:day-from-dateTime,,http://www.w3.org/TR/xpath-functions/#func-day-from-dateTime,,,,,,EXTRACT,,EXTRACT( DAY FROM expression ),,Numeric Scalar,
